source,target,weight
_ldinka,englishwebmarks,2
_ldinka,mradiot,2
_ldinka,boristotel,2
_ldinka,kinomelochi,2
_ldinka,akumaneko,2
_ldinka,white_mouse,2
_ldinka,jewelina,2
_ldinka,high_spirits1,2
_ldinka,marseclipse,2
petaronline,johnspears,1
petaronline,themunny,2
petaronline,babybrit,1
petaronline,brunolovesbrit,2
petaronline,stefanbsp,3
petaronline,dizzybunny,1
petaronline,seargee,1
petaronline,kimberleydayle,1
petaronline,sarahbritney,1
in10tionologist,java4two,1
in10tionologist,msfituniverse,1
in10tionologist,lollydaskal,1
in10tionologist,melissazwanger,1
in10tionologist,immachocoholic,1
in10tionologist,coachcarolann,1
in10tionologist,talkdoc2,1
tonerforautism,mrlandmark,1
tonerforautism,1angelinwaiting,1
tonerforautism,folkspod,3
tonerforautism,autismnow,1
tonerforautism,susancrites,1
tonerforautism,butterflywheel,1
czarque,ivyemeraldgowns,1
in10tionologist,jackalopekid,1
in10tionologist,mynetincome,1
in10tionologist,indiewolf,1
in10tionologist,sacredjourneys,1
in10tionologist,adriereinders,1
in10tionologist,debpenner,1
in10tionologist,amalea09,1
rochelleveturis,extractors,1
rochelleveturis,reporterhaley,4
twoshirts,plantwpurpose,1
ciaobella50,thetazzone,1
ciaobella50,ces69,1
ciaobella50,changeisgood1,1
krystalrenee24,core_appler,2
marclehmann,froosh,1
marclehmann,tygerbone,1
marclehmann,ddsd,1
marclehmann,ssharwood,1
marclehmann,fridley,1
marclehmann,aqualung,1
marclehmann,hwijaya,1
marclehmann,kcarruthers,1
marclehmann,corneliu,1
marclehmann,lachlanhardy,1
marclehmann,stephen_m_bell,1
marclehmann,trib,1
fustat,neobot01,2
fustat,voteforiran,2
fustat,shahrzadmo,2
fustat,freehoder,2
fustat,willyong,2
angelinamolluso,tinainmelbourne,1
angelinamolluso,timmy_sabre,1
nanachtoronto,esoterismo,3
nanachtoronto,cybervenus,3
nanachtoronto,naturcounselor,3
nanachtoronto,dawn_abraham,3
nanachtoronto,xatstilo,3
nanachtoronto,mikaelaangel,3
nanachtoronto,dcychan,3
nanachtoronto,life_coach_kim,3
twan_who,ohshizzle,4
twan_who,sohood,2
twan_who,pauseproof,2
twan_who,lildevil689,2
twan_who,silverahnia,2
twan_who,freaknique,2
twan_who,_desimo_,2
twan_who,bkbap,2
twan_who,a_,2
robin_cardstore,yellowgoatetsy,1
jaxlicurse,thetazzone,2
jaxlicurse,iadiedee,1
jaxlicurse,ibeatcancrtwice,1
808manong,lilyfitness,1
808manong,ironbellgym,1
808manong,greatfitness,1
nanachtoronto,flowersophy,1
nanachtoronto,chumeee,1
nanachtoronto,americandream09,1
nanachtoronto,orangy68,1
nanachtoronto,alexasangels,1
nanachtoronto,bestfoodbaby,1
nanachtoronto,stillsafe,1
nanachtoronto,dr_share_d,1
dr_share_d,donaldhardycrs,2
dr_share_d,therapist_model,1
dr_share_d,abbymathew,1
doc_remy,msfituniverse,1
doc_remy,jamesgoijr,1
doc_remy,a02toyota,1
doc_remy,beingswell,1
doc_remy,venusrising67,1
doc_remy,czgouras,1
doc_remy,loveandemulsion,2
doc_remy,lspearmanii,1
doc_remy,raatek,1
eatdrinkbekerry,marissatree,2
eatdrinkbekerry,jenbishopsydney,2
eatdrinkbekerry,sociallycubed,2
eatdrinkbekerry,simonfitz,2
eatdrinkbekerry,leesargent,2
eatdrinkbekerry,dellvink,2
edwinsng,amiahuja,1
edwinsng,elysiabrooker,1
edwinsng,esoterismo,1
edwinsng,barbaraduke,2
edwinsng,beachmomof2,1
edwinsng,nancyperez,1
edwinsng,nana_mex,1
edwinsng,katetheright,1
edwinsng,flowersophy,1
rcdellara,belovelloso,2
rcdellara,sydharew,2
rcdellara,earthlifeshop,2
rcdellara,omitola,2
rcdellara,mbsh,2
rcdellara,svetok,2
rcdellara,zagrrl,2
rcdellara,artedigital,2
rcdellara,samara7days,2
rcdellara,poeticflower,2
rcdellara,alinaamaral,2
twochix1,thetazzone,2
twochix1,treebanker,2
twochix1,tropicsz4,2
nanachtoronto,wallybock,2
angelinamolluso,manatmouse,1
thisbeer,tastytouring,1
thisbeer,wnorris3,1
thisbeer,bobby_heugel,1
thisbeer,tipsytexan,1
thisbeer,lucybart,1
wineharlots,rickbakas,1
neurosceptic,unloveablesteve,1
neurosceptic,girlsour,1
neurosceptic,mizzteeze,1
neurosceptic,colonelcrow,1
neurosceptic,jgirl70,1
neurosceptic,portiswasp,1
neurosceptic,spamitis,1
neurosceptic,mistressstorm,1
neurosceptic,johnrshanley,1
neurosceptic,tony_letts,1
amassingham,sexydetective,1
rocketman528,thetazzone,1
rocketman528,rickgriffin,1
rocketman528,rosehwang,1
crushtor,reversepr,2
seancallanan,shoelover79,3
tonicke,tap29,1
nanachtoronto,_sem,2
atlprincess,wbayasiii,1
nana_mex,renagades,1
amandarobins,lorimoreno,1
amandarobins,clairemcfee,1
amandarobins,cjs_3,1
amandarobins,lorenfogelman,1
amandarobins,dawizonline,1
amandarobins,staceybarr,1
gtvone,vulavoxoh,1
bigzflygerian,sohood,2
bigzflygerian,saseurogang,3
bigzflygerian,professorgreen,2
bigzflygerian,itsbashy,3
bigzflygerian,chipmunkartist,2
bigzflygerian,officiallemar,2
bigzflygerian,jmebbk,2
rebeccamezzino,a_web_designer,1
seancallanan,tim_butcher,3
seancallanan,tw1sty,2
tamaraschilling,thetazzone,3
tamaraschilling,teresadf,2
tamaraschilling,tina5b5,1
dietsolution,susiecheng,1
dietsolution,lopezwilfred,1
dietsolution,bacieabbracci,1
dietsolution,edwinsng,1
dietsolution,geoffhampton,1
dietsolution,seavista,1
dietsolution,davidfeng,1
dietsolution,relomary,1
tamaraschilling,edwinsng,1
tamaraschilling,donnette,5
